"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2014","46,030.25","45,622.39","46,030.25","45,622.39","134.14M","1.06%"
"Jan 10, 2014","45,548.15","45,455.26","45,701.19","45,334.78","145.29M","0.23%"
"Jan 09, 2014","45,444.59","45,686.89","45,795.15","45,444.59","132.76M","-0.55%"
"Jan 08, 2014","45,696.97","45,879.60","46,108.41","45,662.59","118.05M","-0.37%"
"Jan 07, 2014","45,867.52","45,910.32","46,111.84","45,851.49","120.52M","-0.07%"
"Jan 06, 2014","45,897.44","46,021.48","46,351.27","45,842.86","98.14M","-0.67%"
"Jan 03, 2014","46,206.09","46,465.82","46,465.82","46,093.54","65.92M","-0.82%"
"Jan 02, 2014","46,589.70","46,410.01","46,836.02","46,354.30","69.59M","0.72%"
"Dec 31, 2013","46,256.23","46,019.28","46,290.20","45,873.17","38.32M","0.27%"
"Dec 30, 2013","46,131.29","45,901.82","46,131.29","45,898.10","67.84M","0.87%"
"Dec 27, 2013","45,735.26","45,015.06","45,773.92","45,009.77","63.36M","1.83%"
"Dec 24, 2013","44,912.80","44,807.36","44,976.63","44,791.21","27.36M","0.36%"
"Dec 23, 2013","44,753.19","44,589.42","44,843.21","44,589.42","93.06M","0.40%"
"Dec 20, 2013","44,574.25","44,335.46","44,609.07","44,261.82","227.95M","0.56%"
"Dec 19, 2013","44,327.84","44,368.82","44,483.63","44,039.35","303.87M","0.92%"
"Dec 18, 2013","43,925.38","43,887.34","44,007.69","43,669.14","154.25M","0.17%"
"Dec 17, 2013","43,848.95","43,554.59","43,918.07","43,409.98","163.32M","1.54%"
"Dec 13, 2013","43,185.73","43,485.55","43,640.45","42,921.45","197.95M","-0.15%"
"Dec 12, 2013","43,252.17","43,975.42","44,067.53","43,252.17","238.36M","-2.67%"
"Dec 11, 2013","44,436.86","44,481.66","44,649.14","44,281.30","186.10M","-0.46%"
"Dec 10, 2013","44,640.98","44,805.50","44,888.38","44,450.16","175.25M","-0.20%"
"Dec 09, 2013","44,732.42","44,659.82","44,768.35","44,377.90","134.13M","0.26%"
"Dec 06, 2013","44,616.21","44,302.68","44,751.04","44,265.98","183.76M","0.72%"
"Dec 05, 2013","44,297.66","44,064.50","44,563.68","44,064.50","154.87M","0.71%"
"Dec 04, 2013","43,986.37","44,019.31","44,363.90","43,913.22","195.50M","0.05%"
"Dec 03, 2013","43,962.83","44,454.30","44,518.87","43,886.47","196.06M","-1.56%"
"Dec 02, 2013","44,659.37","44,826.90","44,933.07","44,649.93","109.49M","-0.70%"
"Nov 29, 2013","44,975.67","44,984.15","45,025.03","44,786.31","156.72M","-0.18%"
"Nov 28, 2013","45,058.22","44,577.56","45,058.22","44,553.32","197.75M","1.11%"
"Nov 27, 2013","44,564.01","44,068.12","44,564.01","44,037.98","188.85M","1.31%"
"Nov 26, 2013","43,988.14","44,595.54","44,595.54","43,963.49","254.51M","-1.27%"
"Nov 25, 2013","44,552.51","44,517.92","44,788.00","44,495.42","155.83M","0.26%"
"Nov 22, 2013","44,435.61","44,831.16","44,909.00","44,172.30","177.39M","-0.68%"
"Nov 21, 2013","44,741.55","44,919.86","44,919.86","44,613.80","141.33M","-1.02%"
"Nov 20, 2013","45,201.08","44,975.73","45,243.68","44,964.48","266.88M","0.14%"
"Nov 19, 2013","45,138.13","45,350.77","45,350.77","44,948.26","165.42M","-0.64%"
"Nov 18, 2013","45,428.85","45,307.85","45,428.85","45,149.49","159.64M","0.56%"
"Nov 15, 2013","45,174.18","45,126.75","45,333.36","44,958.96","167.12M","0.60%"
"Nov 14, 2013","44,903.85","45,245.46","45,309.57","44,845.81","149.06M","0.62%"
"Nov 13, 2013","44,625.00","45,175.13","45,263.10","44,548.85","256.12M","-1.81%"
"Nov 12, 2013","45,448.28","45,573.32","45,669.47","45,297.42","171.29M","-0.09%"
"Nov 11, 2013","45,488.18","45,629.34","45,732.95","45,426.15","163.95M","0.02%"
"Nov 08, 2013","45,481.19","45,641.67","45,704.76","45,365.12","170.56M","-1.27%"
"Nov 07, 2013","46,068.47","46,169.97","46,286.18","45,980.94","166.46M","-0.27%"
"Nov 06, 2013","46,192.91","45,925.06","46,192.91","45,925.06","185.30M","0.97%"
"Nov 05, 2013","45,750.23","45,723.41","45,991.49","45,712.40","155.68M","0.17%"
"Nov 04, 2013","45,671.44","45,624.26","45,720.15","45,495.68","107.94M","0.24%"
